onset	duration	trial_type
0	15	right
14	10	rest
24	15	left
39	11	rest
50	15	left
65	6	rest
71	15	right
86	5	rest
91	15	right
106	11	rest
117	15	left
132	7	rest
139	15	right
154	6	rest
160	15	left
175	14	rest
189	15	right
204	8	rest
212	15	left
227	5	rest
232	15	right
247	10	rest
257	15	right
272	14	rest
286	15	left
301	15	rest
316	15	right
331	8	rest
339	15	left
354	15	rest
369	15	right
384	12	rest
396	15	left
411	7	rest
418	15	right
433	13	rest
446	15	left
461	13	rest
474	15	left
489	9	rest
498	15	right
513	9	rest
522	15	left
537	10	rest
547	15	right
562	12	rest
574	15	left
589	10	rest
